1,27.2,26.1,95041
2,27.2,26.1,95037
3,27.2,26.1,95045
4,27.2,26.1,95042
5,27.2,26.1,95043
6,27.2,26.1,95044
7,27.2,26.1,95040
8,27.2,26.1,95041
9,27.2,26.1,95040
10,27.2,26.1,95044
11,27.2,26.1,95047
12,27.2,26.1,95042
13,27.2,26.1,95044
14,27.2,26.2,95048
15,27.2,26.2,95048
16,27.2,26.2,95046
17,27.2,26.2,95048
18,27.2,26.2,95047
19,27.2,26.2,95049
20,27.2,26.2,95052
21,27.2,26.1,95050
22,27.2,26.1,95050
23,27.2,26.1,95050
24,27.2,26.1,95049
25,27.2,26.1,95051
26,27.2,26.1,95051
27,27.2,26.1,95054
28,27.2,26.1,95052
29,27.2,26.0,95049
30,27.2,26.0,95048
31,27.2,26.0,95054
32,27.2,26.0,95051
33,27.2,26.0,95050
34,27.2,26.0,95052
35,27.2,26.0,95052
36,27.2,25.9,95049
37,27.2,25.9,95055
38,27.2,25.9,95050
39,27.2,25.9,95053
40,27.2,25.9,95053
41,27.2,25.9,95053
42,27.2,25.9,95049
43,27.2,25.9,95051
44,27.2,25.9,95057
45,27.2,25.9,95054
46,27.2,25.9,95055
47,27.2,25.8,95054
48,27.2,25.8,95054
49,27.2,25.8,95052
50,27.2,25.8,95049
51,27.2,25.8,95053
52,27.2,25.8,95054
53,27.2,25.8,95055
54,27.2,25.8,95054
55,27.2,25.8,95054
56,27.2,25.8,95055
57,27.2,25.8,95055
58,27.2,25.8,95053
59,27.2,25.8,95057
60,27.2,25.8,95058
61,27.2,25.8,95054
62,27.2,25.7,95054
63,27.2,25.7,95055
64,27.2,25.7,95058
65,27.2,25.7,95057
66,27.2,25.8,95056
67,27.2,25.8,95057
68,27.2,25.8,95058
69,27.2,25.8,95056
70,27.2,25.8,95057
71,27.2,25.8,95061
72,27.1,25.8,95063
73,27.1,25.8,95059
74,27.1,25.7,95059
75,27.1,25.7,95060
76,27.1,25.7,95061
77,27.1,25.7,95058
78,27.1,25.7,95060
79,27.1,25.7,95061
80,27.1,25.7,95057
81,27.1,25.7,95058
82,27.1,25.7,95059
83,27.1,25.7,95057
84,27.1,25.7,95056
85,27.1,25.7,95055
86,27.1,25.7,95054
87,27.1,25.7,95057
88,27.1,25.7,95058
89,27.1,25.7,95054
90,27.1,25.7,95056
91,27.1,25.6,95058
92,27.1,25.6,95056
93,27.1,25.6,95057
94,27.1,25.6,95056
95,27.1,25.6,95057
96,27.1,25.6,95058
97,27.1,25.6,95058
98,27.1,25.6,95057
99,27.1,25.6,95057
100,27.1,25.6,95058
101,27.1,25.6,95056
102,27.1,25.6,95055
103,27.1,25.6,95055
104,27.1,25.6,95059
105,27.1,25.6,95061
106,27.1,25.6,95057
107,27.1,25.6,95055
108,27.1,25.6,95052
109,27.1,25.6,95054
110,27.1,25.6,95053
111,27.1,25.6,95055
112,27.1,25.6,95054
113,27.1,25.6,95053
114,27.1,25.6,95055
115,27.1,25.6,95050
116,27.1,25.6,95056
117,27.1,25.6,95055
118,27.1,25.6,95055
119,27.3,25.6,95052
120,27.9,25.6,95049
121,28.6,25.6,95054
122,29.3,25.6,95054
123,30.0,25.6,95051
124,30.6,25.9,95051
125,31.1,26.1,95054
126,31.5,26.4,95055
127,31.9,26.7,95056
128,32.3,27.0,95054
129,32.5,27.3,95058
130,32.8,27.6,95051
131,33.0,27.8,95050
132,33.1,28.1,95054
133,33.3,28.4,95055
134,33.4,28.8,95052
135,33.5,29.1,95052
136,33.6,29.6,95052
137,33.6,30.0,95056
138,33.7,30.4,95053
139,33.8,30.8,95051
140,33.9,31.1,95054
141,34.0,31.4,95056
142,34.2,31.6,95054
143,34.4,31.8,95058
144,34.5,32.0,95055
145,34.7,32.1,95049
146,34.9,32.3,95053
147,35.1,32.4,95058
148,35.3,32.5,95058
149,35.6,32.6,95059
150,35.8,32.7,95055
151,36.1,32.8,95052
152,36.5,32.9,95055
153,36.8,32.9,95056
154,37.1,33.0,95055
155,37.5,33.1,95054
156,39.3,33.1,95053
157,43.7,33.0,95057
158,48.6,32.9,95054
159,52.8,33.0,95058
160,56.3,33.1,95054
161,59.0,33.3,95054
162,61.1,33.7,95053
163,62.8,34.1,95053
164,64.0,34.6,95055
165,65.0,35.2,95057
166,65.8,35.7,95057
167,66.4,36.3,95055
168,66.9,36.8,95054
169,67.2,37.4,95053
170,67.5,37.9,95056
171,67.7,38.4,95053
172,67.8,38.9,95053
173,67.9,39.4,95056
174,68.0,39.8,95057
175,68.0,40.1,95054
176,68.1,40.4,95055
